generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
185,0.1,5.0,0.9891891891891892,40.31426844481046,0.0,True
190,0.1,5.0,0.9894736842105263,40.86849542286399,0.0,True
195,0.1,5.0,0.9897435897435898,41.415310215280535,0.0,True
200,0.1,5.0,0.99,41.95500235040183,0.0,True
205,0.1,5.0,0.9902439024390244,42.48784299264934,0.0,True
210,0.1,5.0,0.9904761904761905,43.01408653234008,0.0,True
5,0.1,5.0,1.0,6.708203932499369,9.851675031313789e-12,True
10,0.1,5.0,1.0,9.486832980505138,0.0,True
15,0.1,5.0,0.9333333333333333,10.75828707279838,0.0,True
20,0.1,5.0,0.95,12.671051872498808,0.0,True
25,0.1,5.0,0.96,14.333333333333334,0.0,True
30,0.1,5.0,0.9666666666666667,15.823096105704797,0.0,True
35,0.1,5.0,0.9714285714285714,17.184803179479836,0.0,True
40,0.1,5.0,0.975,18.446619684315547,0.0,True
45,0.1,5.0,0.9555555555555556,19.1308038074982,0.0,True
50,0.1,5.0,0.96,20.270394394014364,0.0,True
55,0.1,5.0,0.9090909090909091,20.001262586409513,0.0,True
60,0.1,5.0,0.9166666666666666,21.086242662684825,0.0,True
65,0.1,5.0,0.9076923076923077,21.706078553111478,0.0,True
70,0.1,5.0,0.9,22.31093404090868,0.0,True
75,0.1,5.0,0.88,22.516660498395403,0.0,True
80,0.1,5.0,0.8875,23.47871376374779,0.0,True
85,0.1,5.0,0.8941176470588236,24.404676504598818,0.0,True
90,0.1,5.0,0.9,25.298221281347033,0.0,True
95,0.1,5.0,0.9052631578947369,26.16244797817143,0.0,True
100,0.1,5.0,0.9,26.666666666666668,0.0,True
105,0.1,5.0,0.9047619047619048,27.487852054717017,0.0,True
110,0.1,5.0,0.8909090909090909,27.650415088122173,0.0,True
115,0.1,5.0,0.8956521739130435,28.44139665132957,0.0,True
120,0.1,5.0,0.9,29.211869733608857,0.0,True
125,0.1,5.0,0.904,29.96331089849718,0.0,True
130,0.1,5.0,0.9076923076923077,30.697030675746024,0.0,True
135,0.1,5.0,0.9111111111111111,31.414198252571268,0.0,True
140,0.1,5.0,0.9,31.55242550986462,0.0,True
145,0.1,5.0,0.896551724137931,31.972509743689887,0.0,True
150,0.1,5.0,0.9,32.65986323710904,0.0,True
