generated_tokens,gamma,delta,perplexity,green_fraction,z_score,p_value,prediction
200,0.25,5.0,12.86115976241949,0.975,23.678400846904054,0.0,True
200,0.25,5.0,1.7928726915663027,0.97,23.51510153071851,0.0,True
200,0.25,5.0,18.719732300802054,0.975,23.678400846904054,0.0,True
200,0.5,5.0,7.690835393142066,1.0,14.14213562373095,0.0,True
200,0.5,5.0,9.943543505769956,0.905,11.455129855222069,0.0,True
200,0.5,5.0,15.088366795773767,0.99,13.85929291125633,0.0,True
200,0.5,5.0,18.191880941984074,0.945,12.586500705120546,0.0,True
200,0.5,5.0,11.469275828197784,0.99,13.85929291125633,0.0,True
200,0.5,5.0,13.601482444756089,0.95,12.727922061357855,0.0,True
200,0.5,5.0,8.263378827008552,0.95,12.727922061357855,0.0,True
200,0.5,5.0,11.584389324908777,0.965,13.152186130069783,0.0,True
200,0.5,5.0,5.436091068990681,1.0,14.14213562373095,0.0,True
200,0.5,5.0,14.556996189694582,0.975,13.435028842544403,0.0,True
200,0.5,5.0,12.664361362100186,0.95,12.727922061357855,0.0,True
200,0.5,5.0,7.557608760658547,0.975,13.435028842544403,0.0,True
200,0.5,5.0,22.668995360555474,0.98,13.576450198781712,0.0,True
200,0.5,5.0,2.3457821441829,0.99,13.85929291125633,0.0,True
200,0.5,5.0,17.23825154541291,0.97,13.293607486307092,0.0,True
200,0.5,5.0,11.380750115263083,0.995,14.00071426749364,0.0,True
200,0.5,5.0,1.4764541361668884,1.0,14.14213562373095,0.0,True
200,0.5,5.0,9.214704630305034,0.96,13.010764773832474,0.0,True
200,0.5,5.0,10.235770042985576,0.975,13.435028842544403,0.0,True
200,0.5,5.0,14.352131914306973,0.975,13.435028842544403,0.0,True
200,0.5,5.0,11.971253451978173,0.975,13.435028842544403,0.0,True
200,0.5,5.0,6.064821819918589,0.94,12.445079348883237,0.0,True
200,0.5,5.0,10.345402162941346,0.935,12.303657992645926,0.0,True
200,0.5,5.0,10.69077627732882,0.985,13.717871555019022,0.0,True
200,0.5,5.0,13.343501491347006,0.955,12.869343417595164,0.0,True
200,0.5,5.0,12.402272487318015,0.925,12.020815280171307,0.0,True
200,0.5,5.0,11.503434031474594,0.965,13.152186130069783,0.0,True
200,0.5,5.0,2.165286702363514,0.82,9.050966799187808,0.0,True
200,0.5,5.0,9.350438924178247,0.92,11.879393923933998,0.0,True
200,0.5,5.0,3.0054719060560076,0.965,13.152186130069783,0.0,True
200,0.5,5.0,17.447530576762734,0.96,13.010764773832474,0.0,True
200,0.5,5.0,13.868101419771591,0.95,12.727922061357855,0.0,True
200,0.5,5.0,4.124100261216768,0.985,13.717871555019022,0.0,True
200,0.5,5.0,18.335447049872556,0.97,13.293607486307092,0.0,True
200,0.5,5.0,18.137310863206004,0.96,13.010764773832474,0.0,True
200,0.5,5.0,20.178352264193226,0.98,13.576450198781712,0.0,True
200,0.5,5.0,4.823130120008767,0.98,13.576450198781712,0.0,True
200,0.5,5.0,3.8796525561831476,0.965,13.152186130069783,0.0,True
200,0.5,5.0,12.071687488841185,0.98,13.576450198781712,0.0,True
200,0.5,5.0,10.101335855262679,0.96,13.010764773832474,0.0,True
200,0.5,5.0,6.918931416430922,0.985,13.717871555019022,0.0,True
200,0.5,5.0,15.781029674206444,0.98,13.576450198781712,0.0,True
200,0.5,5.0,12.58315964269696,0.955,12.869343417595164,0.0,True
200,0.5,5.0,21.30568547649056,0.99,13.85929291125633,0.0,True
200,0.5,5.0,11.10079263074057,0.96,13.010764773832474,0.0,True
200,0.5,5.0,7.178256102297403,0.965,13.152186130069783,0.0,True
200,0.5,5.0,11.747380847005013,0.965,13.152186130069783,0.0,True
200,0.25,10.0,41.73555713621763,1.0,24.49489742783178,0.0,True
200,0.25,10.0,3.8824309756049424,0.99,24.16829879546069,0.0,True
200,0.25,10.0,3.064853077987205,1.0,24.49489742783178,0.0,True
200,0.25,10.0,2.5686772434262535,1.0,24.49489742783178,0.0,True
200,0.25,10.0,26.738612191532955,0.995,24.331598111646237,0.0,True
200,0.25,10.0,4.079357311986476,1.0,24.49489742783178,0.0,True
200,0.25,10.0,17.14949925226709,0.985,24.004999479275146,0.0,True
200,0.25,10.0,18.65124722483975,1.0,24.49489742783178,0.0,True
200,0.25,10.0,19.7160177446416,1.0,24.49489742783178,0.0,True
200,0.25,10.0,1.3599807734216118,1.0,24.49489742783178,0.0,True
200,0.25,10.0,3.228735986851115,1.0,24.49489742783178,0.0,True
200,0.25,10.0,3.74118405917661,1.0,24.49489742783178,0.0,True
200,0.25,10.0,3.3380648433130733,1.0,24.49489742783178,0.0,True
200,0.25,10.0,14.778192418275639,1.0,24.49489742783178,0.0,True
200,0.25,10.0,4.046680872523513,1.0,24.49489742783178,0.0,True
200,0.25,10.0,5.960515897875374,1.0,24.49489742783178,0.0,True
200,0.25,10.0,10.785377480827444,0.985,24.004999479275146,0.0,True
200,0.25,10.0,2.0825701291850995,1.0,24.49489742783178,0.0,True
200,0.25,10.0,2.0320113758535,1.0,24.49489742783178,0.0,True
200,0.25,10.0,28.439022564258877,1.0,24.49489742783178,0.0,True
200,0.25,10.0,19.166812888597534,0.995,24.331598111646237,0.0,True
200,0.25,10.0,1.8322589856369358,0.995,24.331598111646237,0.0,True
200,0.25,10.0,12.836097256678531,0.995,24.331598111646237,0.0,True
200,0.25,10.0,27.09113783945528,1.0,24.49489742783178,0.0,True
200,0.25,10.0,2.453800563374347,1.0,24.49489742783178,0.0,True
200,0.25,10.0,10.012427563348062,1.0,24.49489742783178,0.0,True
200,0.25,10.0,9.677457001914211,1.0,24.49489742783178,0.0,True
200,0.25,10.0,28.754735593328153,1.0,24.49489742783178,0.0,True
200,0.25,10.0,12.044741938092523,0.995,24.331598111646237,0.0,True
200,0.25,10.0,35.265737460234924,1.0,24.49489742783178,0.0,True
200,0.25,10.0,1.6471815026965289,1.0,24.49489742783178,0.0,True
200,0.25,10.0,1.9829191391911154,1.0,24.49489742783178,0.0,True
200,0.25,10.0,32.73873711699681,0.995,24.331598111646237,0.0,True
200,0.25,10.0,2.04518503109903,1.0,24.49489742783178,0.0,True
200,0.25,10.0,2.4001409699115754,1.0,24.49489742783178,0.0,True
200,0.25,10.0,29.104199120919404,1.0,24.49489742783178,0.0,True
200,0.25,10.0,2.023219078188583,1.0,24.49489742783178,0.0,True
200,0.25,10.0,25.129140271039823,1.0,24.49489742783178,0.0,True
200,0.25,10.0,3.759242697635385,1.0,24.49489742783178,0.0,True
200,0.25,10.0,2.3073390023143734,1.0,24.49489742783178,0.0,True
200,0.25,10.0,3.045139019239197,1.0,24.49489742783178,0.0,True
200,0.25,10.0,16.89948280542403,1.0,24.49489742783178,0.0,True
200,0.25,10.0,5.770544359012423,1.0,24.49489742783178,0.0,True
200,0.25,10.0,2.079899706437662,1.0,24.49489742783178,0.0,True
200,0.25,10.0,14.401812992913854,1.0,24.49489742783178,0.0,True
200,0.5,10.0,9.261690999442969,0.99,13.85929291125633,0.0,True
200,0.5,10.0,10.234331383201145,1.0,14.14213562373095,0.0,True
200,0.5,10.0,14.311576792508761,1.0,14.14213562373095,0.0,True
200,0.5,10.0,11.510078893551139,0.99,13.85929291125633,0.0,True
